day,age_group,incidence,incidence_per1000,incidence_per100k
98,65+,1135.037362,0.122478,12.247781
99,0-5,598.143158,0.333825,33.382474
99,6-11,294.783728,0.108874,10.887375
99,12-17,1016.606612,0.366728,36.672824
99,18-44,7424.645107,0.411947,41.194661
99,45-64,4603.071171,0.272743,27.274276
99,65+,1067.248648,0.115163,11.516297
100,0-5,552.262545,0.308219,30.821869
100,6-11,271.622741,0.100320,10.031960
100,12-17,938.108836,0.338411,33.841114
100,18-44,6929.331660,0.384465,38.446480
100,45-64,4310.990614,0.255436,25.543631
100,65+,1003.437446,0.108277,10.827733
101,0-5,509.935566,0.284596,28.459593
101,6-11,250.303290,0.092446,9.244560
101,12-17,865.815563,0.312332,31.233223
101,18-44,6466.926908,0.358809,35.880888
101,45-64,4037.252123,0.239217,23.921666
101,65+,943.363086,0.101795,10.179492
102,0-5,470.873693,0.262795,26.279543
102,6-11,230.672310,0.085195,8.519520
102,12-17,799.201407,0.288302,28.830200
102,18-44,6035.146988,0.334852,33.485214
102,45-64,3780.655345,0.224013,22.401270
102,65+,886.799497,0.095691,9.569135
103,0-5,434.813468,0.242670,24.267015
103,6-11,212.590278,0.078517,7.851689
103,12-17,737.789860,0.266149,26.614855
103,18-44,5631.875185,0.312477,31.247714
103,45-64,3540.081974,0.209758,20.975816
103,65+,833.534501,0.089944,8.994372
104,0-5,401.514187,0.224086,22.408577
104,6-11,195.929937,0.072364,7.236365
104,12-17,681.148319,0.245716,24.571582
104,18-44,5255.149775,0.291575,29.157503
104,45-64,3314.490442,0.196391,19.639133
104,65+,783.369109,0.084531,8.453055
105,0-5,370.755798,0.206919,20.691946
105,6-11,180.575156,0.066693,6.669260
105,12-17,628.883674,0.226862,22.686199
105,18-44,4903.152624,0.272045,27.204493
105,45-64,3102.910852,0.183855,18.385475
105,65+,736.116803,0.079432,7.943172
106,0-5,342.337016,0.191059,19.105888
106,6-11,166.419894,0.061465,6.146458
106,12-17,580.638349,0.209458,20.945809
106,18-44,4574.198534,0.253793,25.379335
106,45-64,2904.440141,0.172095,17.209489
